NO2,O3,PM10,PM25,date,site_code
,,10.004166666666668,,2020-02-10,BX0
,,11.408333333333331,,2020-02-11,BX0
,,11.0625,,2020-02-12,BX0
,,8.9125,,2020-02-13,BX0
,,15.995833333333335,,2020-02-14,BX0
,,9.179166666666667,,2020-02-15,BX0
,,6.920833333333334,,2020-02-16,BX0
,,12.704166666666666,,2020-02-17,BX0
,,9.339130434782609,,2020-02-18,BX0
,,,,2020-02-19,BX0
,,,,2020-02-20,BX0
,,16.933333333333337,,2020-02-21,BX0
,,16.191666666666666,,2020-02-22,BX0
,,8.879166666666668,,2020-02-23,BX0
,,8.695833333333333,,2020-02-24,BX0
,,8.345833333333333,,2020-02-25,BX0
,,9.191666666666666,,2020-02-26,BX0
,,,,2020-02-27,BX0
,,,,2020-02-28,BX0
,,,,2020-02-29,BX0
,,10.070833333333335,,2020-03-01,BX0
,,9.233333333333334,,2020-03-02,BX0
,,12.341666666666663,,2020-03-03,BX0
,,15.139130434782606,,2020-03-04,BX0
,,16.5875,,2020-03-05,BX0
,,19.15416666666667,,2020-03-06,BX0
,,22.645833333333332,,2020-03-07,BX0
,,12.950000000000003,,2020-03-08,BX0
,,12.633333333333335,,2020-03-09,BX0
,,8.091666666666667,,2020-03-10,BX0
,,8.908333333333335,,2020-03-11,BX0
,,13.599999999999996,,2020-03-12,BX0
,,16.83181818181818,,2020-03-13,BX0
,,11.774999999999999,,2020-03-14,BX0
,,10.366666666666665,,2020-03-15,BX0
,,15.19090909090909,,2020-03-16,BX0
,,15.704166666666671,,2020-03-17,BX0
,,15.058333333333335,,2020-03-18,BX0
,,20.54583333333333,,2020-03-19,BX0
,,16.2875,,2020-03-20,BX0
,,24.899999999999995,,2020-03-21,BX0
,,23.175,,2020-03-22,BX0
,,29.995833333333334,,2020-03-23,BX0
,,24.65,,2020-03-24,BX0
,,33.4875,,2020-03-25,BX0
,,39.012499999999996,,2020-03-26,BX0
,,39.300000000000004,,2020-03-27,BX0
,,24.35416666666667,,2020-03-28,BX0
,,13.25,,2020-03-29,BX0
,,12.324999999999998,,2020-03-30,BX0
,,20.570833333333333,,2020-03-31,BX0
,,15.9,,2020-04-01,BX0
,,13.674999999999995,,2020-04-02,BX0
,,16.279166666666665,,2020-04-03,BX0
,,18.94166666666667,,2020-04-04,BX0
,,17.883333333333333,,2020-04-05,BX0
,,13.595833333333333,,2020-04-06,BX0
,,28.145833333333332,,2020-04-07,BX0
,,54.90833333333333,,2020-04-08,BX0
,,58.05416666666667,,2020-04-09,BX0
,,48.112500000000004,,2020-04-10,BX0
,,34.04583333333334,,2020-04-11,BX0
,,23.329166666666666,,2020-04-12,BX0
,,17.591666666666665,,2020-04-13,BX0
,,15.129166666666665,,2020-04-14,BX0
,,32.0,,2020-04-15,BX0
,,52.76666666666666,,2020-04-16,BX0
,,25.60434782608696,,2020-04-17,BX0
,,23.23333333333333,,2020-04-18,BX0
7.487500000000001,70.05416666666669,12.579166666666666,,2020-02-01,BX1
9.325,62.59583333333333,15.725000000000001,,2020-02-02,BX1
14.012499999999998,63.662499999999994,15.72083333333333,,2020-02-03,BX1
21.845833333333335,52.724999999999994,11.574999999999998,,2020-02-04,BX1
46.81250000000001,20.133333333333336,28.920833333333338,,2020-02-05,BX1
47.12083333333333,12.799999999999999,27.95,,2020-02-06,BX1
33.470833333333324,21.075,29.112499999999997,,2020-02-07,BX1
13.545833333333329,58.533333333333324,15.125000000000002,,2020-02-08,BX1
3.5833333333333326,73.70416666666667,13.326086956521737,,2020-02-09,BX1
8.179166666666667,71.39583333333334,10.016666666666667,,2020-02-10,BX1
10.033333333333333,71.11666666666667,12.008333333333333,,2020-02-11,BX1
17.420833333333334,59.32916666666666,11.220833333333333,,2020-02-12,BX1
19.033333333333335,62.63750000000001,8.000000000000002,,2020-02-13,BX1
24.045833333333334,45.987500000000004,18.1625,,2020-02-14,BX1
5.054166666666666,59.37083333333334,8.204166666666666,,2020-02-15,BX1
5.358333333333334,74.31666666666668,5.031818181818181,,2020-02-16,BX1
9.887500000000001,67.99583333333334,13.170833333333333,,2020-02-17,BX1
10.770833333333336,68.13333333333333,10.049999999999999,,2020-02-18,BX1
18.49583333333333,55.779166666666676,11.683333333333335,,2020-02-19,BX1
14.529166666666667,65.76666666666664,6.195833333333333,,2020-02-20,BX1
10.475,69.29166666666667,17.03333333333333,,2020-02-21,BX1
5.7749999999999995,76.25,16.129166666666666,,2020-02-22,BX1
13.991666666666667,56.06666666666667,7.21304347826087,,2020-02-23,BX1
13.083333333333336,56.08750000000001,7.762499999999999,,2020-02-24,BX1
13.024999999999999,65.87727272727273,,,2020-02-25,BX1
